gid	Domain	Real-domain	full-name	Organism-prefix	org-nicknames	gene-pattern	alt-gene-pattern	gene-prefix	Provisional	Circular	Complete	Host	Systematic-name	Lifestyle	Phylogeny	Taxonomy-ID	Contigs	Number-of-contigs	Total-length	GC%	Seed?
244310.1	Virus	Bacteriophage	Burkholderia phage Bcep1	Bcep1	(Bcep1)	-	orf([0-9]+)	-	-	T	@	Burkholderia  cepacia	vB_BCe_M_Bcep1	Lytic	-	-	NC_005263	1	48178	63.64	3253722920
348137.2	Virus	Bacteriophage	Burkholderia phage Bcep176	Bcep176	(Bcep176)	BCPBV176_gp[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_S_Bcep176	-	-	-	NC_007497	1	44856	61.54	-
242527.1	Virus	Bacteriophage	Burkholderia phage Bcep22	Bcep22	(Bcep22)	Bcep22p[0-9]+	-	-	-	T	@	Burkholderia  cepacia	vB_BCe_P_Bcep22	-	-	-	NC_005262	1	63882	65.31	2083281438
260373.1	Virus	Bacteriophage	Burkholderia phage Bcep43	Bcep43	(Bcep43)	Bcep430ORF[0-9]+	-	-	-	T	@	Burkholderia  cepacia	vB_BCe_M_Bcep43	Lytic	-	-	NC_005342	1	48023	63.44	694178244
209052.1	Virus	Bacteriophage	Burkholderia phage Bcep781	Bcep781	(Bcep781)	Bcep781p[0-9]+	-	-	-	T	@	Burkholderia  cepacia	vB_BCe_M_Bcep781	Lytic	-	-	NC_004333	1	48248	63.33	1352114794
279530.3	Virus	Bacteriophage	Burkholderia phage BcepB1A	BcepB1A	(BcepB1A)	-	BcepB1A.?gene([0-9]+)	-	-	T	@	Burkholderia  cenocepacia	vB_BCe_M_BcepB1A	Lytic	-	-	NC_005886	1	47399	54.45	1039824717
279280.3	Virus	Bacteriophage	Burkholderia phage BcepC6B	BcepC6B	(BcepC6B)	-	g([0-9]+)	-	-	T	@	Burkholderia  cepacia	vB_BCe__BcepC6B	Temperate	-	-	NC_005887	1	42415	65.19	1644357263
417280.2	Virus	Bacteriophage	Burkholderia phage BcepF1	BcepF1	(BcepF1)	-	BcepF1.([0-9]+)	-	-	T	@	Burkholderia ambifaria	vB_BAm_M_BcepF1	-	-	-	NC_009015	1	72415	55.89	-
437329.2	Virus	Bacteriophage	Burkholderia phage BcepGomr	BcepGomr	(BcepGomr)	-	BcepGomrgene([0-9]+)	-	-	T	@	Burkholderia  	vB_B_S_BcepGomr	-	-	-	NC_009447	1	52414	56.29	-
644524.2	Virus	Bacteriophage	Burkholderia phage BcepIL02	BcepIL02	(BcepIL02)	BvcepIL02_gp[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_P_BcepIL02	-	-	-	NC_012743	1	62714	66.2	-
264729.3	Virus	Bacteriophage	Burkholderia phage BcepMu	BcepMu	(BcepMu)	BcepMu[0-9]+	-	-	-	T	@	Burkholderia  cenocepacia	vB_BCe_M_BcepMu	Temperate	-	-	NC_005882	1	36748	62.86	3474863617
242861.1	Virus	Bacteriophage	Burkholderia phage BcepNazgul	BcepNazgul	(BcepNazgul)	BcepNazgulp[0-9]+	-	-	-	T	@	Burkholderia  cepacia	vB_BCe__BcepNazgul	-	-	-	NC_005091	1	58128	60.65	3371676306
446807.2	Virus	Bacteriophage	Burkholderia phage BcepNY3	BcepNY3	(BcepNY3)	-	BcepNY3gene([0-9]+)	-	-	T	@	Burkholderia  	vB_B_M_BcepNY3	-	-	-	NC_009604	1	47382	63.64	-
557289.2	Virus	Bacteriophage	Burkholderia phage KS10	KS10	(KS10)	KS10_gp[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_M_KS10	-	-	-	NC_011216	1	37635	62.87	-
335797.2	Virus	Bacteriophage	Burkholderia phage KS9	KS9	(KS9)	-	-	-	-	T	@	Burkholderia 	vB_B_S_KS9	Temperate	-	-	NC_013055	1	39896	60.68	-
255131.1	Virus	Bacteriophage	Burkholderia phage phi1026b	phi1026b	(phi1026b)	phi1026bp[0-9]+	-	phi1026b-	-	T	@	Burkholderia pseudomallei	vB_BPs_S_phi1026b	Temperate	-	-	NC_005284	1	54865	60.68	2850166548
332032.3	Virus	Bacteriophage	Burkholderia phage phi52237	phi52237	(phi52237)	BPSphi5223_[0-9]+	-	-	-	T	@	Burkholderia  pseudomallei	vB_BPs_M_phi52237	Temperate	-	-	NC_007145	1	37639	64.82	3473173650
431891.2	Virus	Bacteriophage	Burkholderia phage phi644-2	phi644-2	(phi644-2)	BPSphi6442_[0-9]+	-	-	-	T	@	Burkholderia 	vB_B_S_phi644-2	Temperate	-	-	NC_009235	1	48674	60.45	-
431892.2	Virus	Bacteriophage	Burkholderia phage phiE12-2	phiE12-2	(phiE12-2)	BPSphiE122_[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_M_phiE12-2	Temperate	-	-	NC_009236	1	36690	64.62	-
180504.1	Virus	Bacteriophage	Burkholderia phage phiE125	phiE125	(phiE125)	phiE125p[0-9]+	-	phiE125-	-	T	@	Burkholderia mallei	vB_BMa_S_phiE125	Temperate	-	-	NC_003309	1	53373	61.19	293104177
431893.2	Virus	Bacteriophage	Burkholderia phage phiE202	phiE202	(phiE202)	BTHphiE202_[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_M_phiE202	-	-	-	NC_009234	1	35741	65.43	-
431894.2	Virus	Bacteriophage	Burkholderia phage phiE255	phiE255	(phiE255)	BTHphiE255_[0-9]+	-	-	-	T	@	Burkholderia  	vB_B_M_phiE255	-	-	-	NC_009237	1	37446	63.05	-
105154.1	Virus	Bacteriophage	Chlamydia phage 2	Chl-2	(Chl-2)	Ch-2p[0-9]+	-	-	-	T	@	Chlamydia  	vB_C_M_phage 2	-	-	-	NC_002194	1	4563	40.94	1480125035
225067.3	Virus	Bacteriophage	Chlamydia phage 3	Chl-3	(Chl-3)	CP3p[0-9]+	-	-	-	T	@	Chlamydia  	vB_C_M_phage 3	-	-	-	NC_008355	1	4554	41.04	938717647
313629.2	Virus	Bacteriophage	Chlamydia phage 4	Chl-4	(Chl-4)	Chp4p[0-9]+	-	Chl-4-	-	T	@	Chlamydia  	vB_C_M_phage 4	-	-	-	NC_007461	1	4530	41.17	-
117575.1	Virus	Bacteriophage	Chlamydia phage phiCPAR39	phiCPAR39	(phiCPAR39)	phiCPAR39p[0-9]+	-	-	-	T	@	Chlamydia  	vB_C_M_phiCPAR39	-	-	-	NC_002180	1	4532	40.62	3540893914
90963.1	Virus	Bacteriophage	Chlamydia phage PhiCPG1	PhiCPG1	(PhiCPG1)	PhiCPG1p[0-9]+	-	-	-	T	@	Chlamydia  	vB_C_M_PhiCPG1	-	-	-	NC_001998	1	4529	40.98	541876384
12367.1	Virus	Bacteriophage	Chlamydia psittaci phage Chp1	Chp1	(Chp1)	chp1p[0-9]+	-	Chp1-	-	T	@	Chlamydia 	-	-	-	-	-	-	-	-	-
686439.2	Virus	Bacteriophage	Clavibacter phage CMP1	CMP1	(CMP1)	CMP1-[0-9]+	-	-	-	T	@	Clavibacter 	-	-	-	-	-	-	-	-	-
541865.2	Virus	Bacteriophage	Clostridium phage 39-O	Clo-39-O	(Clo-39-O)	39-O_gp[0-9]+	-	-	-	T	@	Closrtridium  	vB_C__phage 39-O	-	-	-	NC_011318	1	38753	30.42	-
12336.2	Virus	Bacteriophage	Clostridium phage c-st	c-st	(c-st)	CST[0-9]+	-	-	-	T	@	Clostridium  	vB_C_M_c-st	-	-	-	NC_007581	1	185683	26.28	-
658056.2	Virus	Bacteriophage	Clostridium phage D-1873	D-1873	(D-1873)	CLGB[0-9]+	-	-	-	T	@	Closrtridium  	vB_C__D-1873	-	-	-	NZ_ACSJ01000015	1	17272	25.27	-
320122.2	Virus	Bacteriophage	Clostridium phage phi CD119	phi-CD119	(phi-CD119)	CDBPCV119_gp[0-9]+	-	-	-	T	@	Clostridium  	vB_C_M_phi CD119	-	-	-	NC_007917	1	53325	28.77	-
190478.1	Virus	Bacteriophage	Clostridium phage phi3626	phi3626	(phi3626)	phi3626p[0-9]+	-	phi3626-	-	T	@	Clostridium perfringens	vB_CPe_S_phi3626	Temperate	-	-	NC_003524	1	33507	28.38	1132973346
262071.2	Virus	Bacteriophage	Clostridium phage phiC2	phiC2	(phiC2)	phiC2p[0-9]+	-	-	-	T	@	Clostridium  	vB_C_M_phiC2	-	-	-	NC_009231	1	56538	28.73	-
559189.2	Virus	Bacteriophage	Clostridium phage phiCD27	phiCD27	(phiCD27)	phiCD27_gp[0-9]+	-	-	-	T	@	Clostridium  	vB_C_M_phiCD27	-	-	-	NC_011398	1	50930	29.33	-
871584.5	Virus	Bacteriophage	Clostridium phage phiCTP1	phiCTP1	(phiCTP1)	phiCTP1_gp[0-9]+	-	-	-	T	@	Clostridium 	-	-	-	-	-	-	-	-	-
396359.2	Virus	Bacteriophage	Clostridium phage phiSM101	phiSM101	(phiSM101)	CPR_C[0-9]+	-	-	-	T	@	Closrtridium  	vB_C__phiSM101	-	-	-	NC_008265	1	38092	28.13	-
28358.2	Virus	Bacteriophage	Corynebacterium phage BFK20	BFK20	(BFK20)	BFK20_gp[0-9]+	-	-	-	T	@	Corynebacterium  	vB_C_S_BFK20	-	-	-	NC_009799	1	42969	56.16	-
384848.2	Virus	Bacteriophage	Corynebacterium phage P1201	P1201	(P1201)	P1201_gp[0-9]+	-	-	-	T	@	Corynebacterium  	vB_C_S_P1201	-	-	-	NC_009816	1	70579	50.92	-
151528.1	Virus	Bacteriophage	Cyanophage P60	P60	(P60)	P60_[0-9]+	-	P60-	-	NIL	@	Cyanobacteria	vB__P_P60	Lytic	-	-	NC_003390	1	47872	53.21	902594694
658401.2	Virus	Bacteriophage	Cyanophage PSS2	PSS2	(PSS2)	PSS2_gp[0-9]+	-	PSS2-	-	T	@	Cyanobacteria	vB__S_PSS2	-	-	-	NC_013021	1	107530	52.3	-
268748.3	Virus	Bacteriophage	Cyanophage P-SSP7	P-SSP7	(P-SSP7)	PSSP7_[0-9]+	-	P-SSP7-	-	T	@	Cyanobacteria	vB__P_P-SSP7	Temperate	-	-	NC_006882	1	44970	38.76	434248003
665032.2	Virus	Bacteriophage	Deftia phage phiW-14	phiW-14	(phiW-14)	DP-phiW-14_gp[0-9]+	-	-	-	T	@	Deftia 	-	-	-	-	-	-	-	-	-
532076.2	Virus	Bacteriophage	Enterobacteria phage 13a	Ent-13a	(Ent-13a)	AS5_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__P_13a	Lytic	-	-	NC_011045	1	38841	48.39	-
29252.1	Virus	Bacteriophage	Enterobacteria phage 186	Ent-186	(Ent-186)	186p[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__M_186	Temperate	-	-	NC_001317	1	30624	53.09	2299501513
254397.2	Virus	Bacteriophage	Enterobacteria phage 2851	Ent-2851	(Ent-2851)	EP2851_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__P_2851	-	-	-	FM180578	1	57248	51.05	-
532074.2	Virus	Bacteriophage	Enterobacteria phage BA14	BA14	(BA14)	AS7_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__P_BA14	Lytic	-	-	NC_011040	1	39816	48.78	-
709484.3	Virus	Bacteriophage	Enterobacteria phage CC31	CC31	(CC31)	CC31p[0-9]+	-	-	-	T	@	Enterobacteria 	-	-	-	-	-	-	-	-	-
414970.2	Virus	Bacteriophage	Enterobacteria phage cdtI	cdtI	(cdtI)	PcdtI_gp[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__S_cdtI	Temperate	-	-	NC_009514	1	47021	49.12	-
482822.2	Virus	Bacteriophage	Enterobacteria phage DE3	DE3	(DE3)	ECD_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__S_DE3	-	-	-	EU078592	1	42925	51.88	-
532075.2	Virus	Bacteriophage	Enterobacteria phage EcoDS1	EcoDS1	(EcoDS1)	AS9_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__P_EcoDS1	-	-	-	NC_011042	1	39252	49.94	-
491003.2	Virus	Bacteriophage	Enterobacteria phage EPS7	EPS7	(EPS7)	AGC_[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__S_EPS7	-	-	-	NC_010583	1	111382	39.9	-
215158.1	Virus	Bacteriophage	Enterobacteria phage epsilon15	epsilon15	(epsilon15)	epsilon15p[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__P_epsilon15	Temperate	-	-	NC_004775	1	39671	50.85	1134292239
10863.2	Virus	Bacteriophage	Enterobacteria phage f1	Ent-f1	(Ent-f1)	-	([IVXL]+)$	-	-	T	@	Enterobacteriaceae	vB__I_f1	-	-	-	AB334720	1	6407	40.94	-
10864.2	Virus	Bacteriophage	Enterobacteria phage fd	Ent-fd	(Ent-fd)	-	-	-	-	T	@	Enterobacteriaceae	vB__I_fd	-	-	-	PFDCG	1	6408	40.89	-
194701.2	Virus	Bacteriophage	Enterobacteria phage Fels-2	Fels-2	(Fels-2)	-	STM([0-9]+)	STM	-	T	@	Enterobacteriaceae	vB__M_Fels-2	-	-	-	NC_010463	1	33693	52.49	-
39804.2	Virus	Bacteriophage	Enterobacteria phage FI	Ent-FI	(Ent-FI)	-	-	-	-	T	@	Enterobacteriaceae	vB__L_FI	-	-	-	EF068134	1	4184	51.24	-
329855.2	Virus	Bacteriophage	Enterobacteria phage FI sensu lato	Ent-FI-sl	(Ent-FI-sl)	-	SP_([0-9]+)	Ent-F1-sl-SP_	-	T	@	Enterobacteriaceae	vB__L_lato	-	-	-	NC_004301	1	4276	50.26	-
12017.1	Virus	Bacteriophage	Enterobacteria phage fr	Ent-fr	(Ent-fr)	-	frp([0-9]+)	Ent-frp	-	T	@	Enterobacteriaceae	vB__L_fr	-	-	-	NC_001333	1	3575	51.38	532298609
10843.1	Virus	Bacteriophage	Enterobacteria phage G4	Ent-G4	(Ent-G4)	G4p[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__M_G4	Lytic	-	-	NC_001420	1	5577	45.69	113995958
12018.1	Virus	Bacteriophage	Enterobacteria phage GA	Ent-GA	(Ent-GA)	GA_[0-9]+	-	-	-	T	@	Enterobacteria 	-	-	-	-	-	-	-	-	-
10742.1	Virus	Bacteriophage	Enterobacteria phage HK022	HK022	(HK022)	HK022p[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__S_HK022	Temperate	-	-	NC_002166	1	40751	49.48	849659903
10869.1	Virus	Bacteriophage	Enterobacteria phage I2-2	I2-2	(I2-2)	I22-2p[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__I_I2-2	-	-	-	NC_001332	1	6744	42.72	686080827
338111.2	Virus	Bacteriophage	Enterobacteria phage ID1	ID1	(ID1)	-	-	ID1-	-	T	@	Enterobacteriaceae	vB__M_ID1	-	-	-	DQ079880	1	5386	44.49	-
338136.2	Virus	Bacteriophage	Enterobacteria phage ID12	ID12	(ID12)	-	-	ID12-	-	T	@	Enterobacteriaceae	vB__M_ID12	-	-	-	DQ079905	1	5529	46.32	-
489829.2	Virus	Bacteriophage	Enterobacteria phage ID18 sensu lato	ID18	(ID18)	CIV18_gp[0-9]+	-	ID18_sensu_lato-	-	T	@	Enterobacteriaceae	vB__M_ID18_sensu_lato	-	-	-	NC_007856	1	5486	45.22	-
511969.2	Virus	Bacteriophage	Enterobacteria phage ID2	ID2	(ID2)	CIV2_gp[0-9]+	-	-	-	T	@	Enterobacteriaceae	vB__M_ID2	-	-	-	NC_007817	1	5486	45.75	-
